	cluster	degree
0610040J01Rik	1	1821
0610030E20Rik	0	3723
1600012H06Rik	0	1932
1600014C10Rik	1	952
1810010H24Rik	1	1494
1810037I17Rik	3	3788
2310002L09Rik	5	54
1110002E22Rik	5	11
2610008E11Rik	0	1450
2700049A03Rik	0	1718
4833439L19Rik	2	1991
4930503L19Rik	0	686
1700109H08Rik	4	463
4930523C07Rik	3	3024
4930563E22Rik	1	3091
A3galt2	0	1075
Aaas	3	1679
AABR07001519.1	2	301
AABR07001910.1	0	1764
AABR07001926.3	0	1749
AABR07002065.2	1	649
AABR07002627.1	2	723
AABR07002774.1	2	83
1110038F14Rik	2	1374
AABR07002774.4	0	3419
AABR07002848.1	4	208
6030468B19Rik	4	190
AABR07002969.1	1	770
AABR07003176.1	2	1134
AABR07005775.1	5	56
AABR07005779.1	0	2542
AABR07007032.1	0	2660
AABR07007642.1	0	83
AABR07007675.1	3	791
AABR07007675.2	4	282
AABR07000292.1	4	235
AABR07007905.2	4	392
AABR07008066.2	2	67
AABR07008608.1	0	343
AABR07008681.1	4	139
AABR07004232.1	4	26
AABR07009105.1	2	1062
AABR07011733.1	4	7
AABR07013065.1	4	182
AABR07013425.1	4	188
AABR07015346.1	2	1440
AABR07015507.1	2	1444
2810021J22Rik	2	234
AABR07015559.1	4	175
AABR07016566.1	4	182
AABR07017874.1	4	238
AABR07017902.1	3	386
AABR07018556.1	4	71
AABR07019403.1	1	1720
AABR07021955.1	0	2682
AABR07022144.1	2	125
AABR07022168.1	4	93
AABR07025272.1	1	6
AABR07025140.1	1	32
AABR07026002.1	0	378
AABR07026291.1	2	388
AABR07027267.1	4	341
AABR07027872.1	4	4
AABR07006275.1	4	16
AABR07028027.1	3	1765
2310039H08Rik	1	335
AABR07028488.1	0	1948
AABR07028769.1	1	305
AABR07028902.1	0	2402
AABR07028997.1	0	2356
AABR07029195.1	0	1418
AABR07029272.1	0	408
AABR07029581.1	0	3643
AABR07029605.1	2	2165
AABR07030019.1	2	1321
AABR07006278.1	2	75
AABR07030791.1	4	15
AABR07030861.1	1	424
AABR07001064.1	1	58
AABR07031480.1	0	3007
AABR07031963.1	4	293
AABR07021812.1	4	29
AABR07032097.1	4	144
AABR07034438.1	0	3523
AABR07034639.1	1	689
AABR07034648.1	4	571
AABR07035218.1	3	2719
AABR07035338.1	0	1981
AABR07035374.1	4	244
AABR07035428.2	1	2983
AABR07035787.1	0	543
AABR07036550.1	4	226
AABR07036567.1	2	720
AABR07036855.1	2	680
AABR07037995.1	0	716
AABR07038019.1	1	94
1110065P20Rik	1	181
AABR07038355.1	4	190
AABR07021080.1	4	4
AABR07038567.1	4	163
AABR07039210.1	0	855
AABR07005844.1	0	359
AABR07039446.2	0	619
AABR07039936.1	1	1428
AABR07040412.1	0	447
AABR07040792.1	0	16
AABR07040855.1	3	1561
AABR07040864.1	2	787
AABR07043115.1	4	174
AABR07043347.1	4	24
AABR07044388.2	1	625
AABR07044416.1	4	500
AABR07039210.2	1	145
AABR07044631.2	0	1757
AABR07044759.1	2	1140
AABR07045411.1	0	134
AABR07045431.1	2	144
AABR07046707.1	2	312
AABR07048031.1	1	151
AABR07049060.1	4	5
AABR07051376.1	2	815
AABR07051787.1	1	2107
AABR07052486.1	2	1090
AABR07053185.1	2	2885
AABR07053472.1	3	1972
AABR07053516.1	2	1277
AABR07053741.1	0	2917
AABR07053830.1	4	105
AABR07054286.1	0	79
AABR07054367.1	2	1457
AABR07057196.1	3	780
AABR07058464.1	3	1378
AABR07059232.1	0	2387
AABR07060778.1	2	2124
AABR07060872.1	3	11
AABR07061825.2	1	114
AABR07062138.2	0	122
AABR07062154.1	3	1073
AABR07007146.1	3	203
AABR07062570.1	2	4357
AABR07063281.1	0	1886
AABR07064590.1	4	302
AABR07064622.1	4	23
AABR07064719.2	0	949
AABR07064804.1	2	1666
AABR07064980.1	3	296
AABR07065265.1	4	308
AABR07042733.2	4	32
AABR07066529.1	1	3381
AABR07068694.1	2	16
AABR07056686.1	2	40
AABR07069454.1	4	405
AABR07069611.1	4	209
AABR07070043.1	2	112
AABR07031491.2	2	327
AABR07070307.1	1	51
AABR07071198.1	4	295
AABR07071244.1	3	3288
AABR07071891.2	1	570
AABR07071986.1	0	932
AABR07072108.1	2	1000
AABR07072356.1	3	2113
AABR07073181.1	1	1551
Aacs	1	316
Aagab	2	1228
Aak1	0	3259
Aamdc	2	204
AABR07014301.2	1	115
Aamp	1	2155
Aar2	3	4160
Aars1	3	1800
Aars2	2	1088
Aarsd1	1	1786
Aasdh	4	256
Aasdhppt	3	3975
Abca1	3	2380
Abca2	1	1389
Abca3	0	2928
Abca7	1	190
Abca8a	3	262
Abca9	2	176
Abcb10	2	1615
Abcb6	2	1232
Abcb7	2	1819
Abcb8	1	2096
Abcb9	1	378
Abcc1	0	2434
Abcc10	1	623
Abcc3	1	83
Abcc4	2	235
Abcc5	4	448
Abcc9	2	1318
Abcd1	1	1556
Abcd2	1	1593
Abcd3	1	3267
Abcd4	1	280
Abce1	2	3234
Abcf1	2	1402
Abcf2	2	1778
Abcf3	2	1063
Abcg1	3	1171
Abcg3l1	0	2313
Abcg3l2	0	1799
Abcg3l3	0	680
Abhd1	1	424
Abhd10	3	1124
Abhd11	1	438
Abhd12	3	1910
Abhd13	3	3939
Abhd14a	3	2401
Abhd14b	3	2750
Abhd15	3	1882
Abhd16a	1	1980
Abhd16b	2	2699
Abhd17b	1	1004
Abhd17c	3	2830
Abhd18	2	532
Abhd2	3	3066
Abhd3	3	2526
Abhd4	3	2926
Aadat	3	132
Abhd5	3	1789
Abhd6	0	1932
Abi1	0	2629
Abi2	0	2581
Abi3bp	0	384
Abitram	0	1970
Abl1	1	1200
Abhd17a	1	213
Abl2	0	1324
Ablim2	2	36
Ablim3	3	830
Abcg2	3	125
Abo	1	1786
Abr	0	102
Abra	5	52
Abracl	0	696
Abraxas1	0	1293
Abraxas2	2	2991
Abt1	3	2902
Abtb1	2	729
AC080157.1	4	296
AABR07054578.1	4	9
AC094055.1	0	282
AC094212.1	2	255
AABR07057237.1	1	105
AC094643.2	2	706
AC097784.1	0	661
AABR07007121.1	0	16
AC098547.2	4	239
AC098622.1	2	546
Abhd8	2	32
AC099360.1	4	94
AC099384.2	4	339
AC099450.1	3	2742
AC099453.1	3	1509
AC105515.1	2	80
AC105531.1	2	4393
AC105662.1	1	405
AC107531.3	4	4
AC109048.1	1	1221
AC109542.1	3	1685
AC109844.1	4	193
AC109942.1	2	1106
AC112866.1	0	468
AC118115.1	4	37
AC118165.1	0	2188
AC119015.1	3	972
AC121415.1	3	1949
AC126572.1	0	2331
AC128290.1	4	84
AC128859.3	0	58
AC130232.2	0	380
AC130391.3	4	330
AC131360.1	3	1987
AC131360.2	1	115
AC132740.1	4	23
AC135409.1	4	1
Acaa1a	3	1877
Acaa2	3	2334
Acaca	1	242
Acacb	2	568
Acad10	3	1558
Acad11	3	1495
Acad8	2	1894
Acad9	2	1760
Acadl	2	1401
Acadm	2	1358
Acads	1	1235
1700056E22Rik	1	15
Acadsb	3	2494
Acadvl	3	2314
Acap1	0	55
AABR07058479.1	4	49
Acap2	0	3564
Acap3	1	447
Acat1	2	2242
Acat2	1	504
Acbd3	0	2249
Acbd4	1	1039
Acbd5	3	2590
Acbd6	1	1280
Accs	1	1919
Acd	0	3013
Ace	0	326
Ace2	3	407
Acer2	0	1721
Acer3	1	643
Ache	2	29
Acin1	0	1695
Ackr1	0	1781
Ackr3	0	1386
Acly	1	102
Acnat2	4	346
AC115420.1	4	9
Aco1	3	1489
Aco2	2	1344
Acot13	2	464
Acot2	3	2407
Acot4	4	22
Acot7	1	390
Acot8	1	966
Acot9	2	2746
Acox1	3	2423
Acox3	0	1598
Acp1	3	3009
Acp2	3	2209
Acp5	1	854
Acp6	3	2988
Acr	4	29
Acrbp	1	276
Acsbg2	0	93
Acsbg3	4	74
Acsf2	2	393
Acsf3	1	517
Acsl1	3	1842
Acsl3	2	455
Acsl4	3	2442
Acsl5	3	1303
Acsm1	1	41
Acsm5	3	367
Acss1	2	144
Acss2	1	470
Acss3	3	667
Acta1	5	61
Actb	3	1698
Actg1	1	1858
Actg2	6	8
Acta2	6	9
Actl6a	3	4255
Actn1	3	315
Actn3	5	53
Actn4	3	1829
Actr10	2	2431
Actr1a	1	3233
Actr1b	2	1105
Actr2	3	3218
Actr3	0	3668
Actr3b	2	6
Actr5	1	160
Actr6	3	3541
Actr8	0	4152
Acvr1	2	1911
Acvr1b	2	622
Acvr1c	3	1726
Acvr2a	0	3143
Acvr2b	2	41
Acvrl1	0	612
Abi3	0	51
Acy1	3	1044
Acyp1	2	614
Acyp2	2	404
Ada	3	221
Adam10	0	2259
Adam12	1	701
Adam15	0	427
Adam17	0	1932
Adal	0	59
Adam19	0	1170
Adam22	0	3
Adam23	0	1685
Adam8	4	95
Adam9	0	2658
Adamts10	1	87
Adam33	1	10
Adamts12	0	1757
Adamts14	1	180
Adamts15	1	93
Adamts2	1	479
Adamts4	4	5
Adamts1	0	22
Adamts5	0	214
Adamts7	0	1646
Adamts9	1	8
AABR07067762.1	1	9
Adamtsl1	0	1106
Ackr2	0	16
Adamtsl3	0	480
Adamtsl4	2	230
Adap1	1	256
Adap2	0	82
Adar	1	358
Adarb1	3	438
Adat1	4	347
Adat3	1	175
Adck1	1	1762
Adck5	1	2552
Adcy10	1	108
Adcy3	1	519
Adcy4	1	124
Adcy6	1	1418
Adcy7	0	238
Adcy9	2	864
Adcyap1r1	0	518
Add1	1	1903
Add3	3	1302
Adgra2	1	901
Adgra3	0	3605
Adgrd1	0	519
Acot11	0	82
Adgre1	0	144
Adgre4	0	107
Adgre5	0	1215
Adgrf5	3	1157
Adgrg1	1	653
Adgrg2	3	478
Adgrg3	4	46
Adgrg5	0	43
Adgrg6	0	1126
Adgrl1	1	220
Adgrl2	0	2463
Adgrl3	0	789
Adgrl4	0	1387
Adgrv1	0	39
Adh5	3	3014
Adhfe1	3	1407
Adi1	3	1312
Adipoq	1	973
Adipor1	2	2453
AABR07029732.1	2	56
Adipor2	2	2376
Adk	3	2245
Adm	3	2266
Adnp	0	4133
Adnp2	1	1422
Ado	0	3004
Adora1	1	500
Adora2a	1	629
Adpgk	1	1818
Adprh	3	4364
Adprhl1	2	502
Adprm	1	2968
Adprs	1	1514
Adra1a	0	287
Adra1d	1	42
Adra2a	0	645
Adra2b	0	528
Adrb1	1	35
Adrb2	0	243
Adrb3	0	36
Adrm1	2	1539
Adsl	2	1082
Adss	0	3965
Aebp1	3	461
Adora2b	0	9
Aebp2	0	304
Aen	3	844
Afap1	1	1787
Afdn	0	484
Aff1	0	1596
Aff3	0	287
Aff4	0	2452
Afg3l1	1	1514
Afg3l2	2	1705
Afmid	1	15
Aftph	0	3561
Aga	3	1683
Agap1	0	3105
Agap2	1	26
Agap3	1	698
Agbl3	0	580
Agbl5	3	1290
Ager	1	181
Agfg2	3	2995
Aggf1	0	2004
Agk	3	3180
Agl	2	509
Agmo	1	378
Ago1	1	46
Ago2	2	925
Ago3	0	1302
Ago4	0	403
Agpat1	2	1067
Agpat2	1	643
Agpat3	1	681
Agpat4	1	215
Agpat5	2	1805
Agps	0	2954
Agrn	1	259
Agt	3	1682
Agtpbp1	2	612
Agtr1a	3	2253
Agtrap	3	3900
Ahctf1	0	2277
Ahcy	2	2802
Ahcyl1	3	3762
Ahcyl2	1	680
Ahdc1	2	68
Ahi1	0	2103
Ahnak	0	1544
Ahr	0	692
Ahsa1	2	1485
Ahsa2	4	354
AI467606	0	193
AB124611	0	30
Aida	0	614
Ackr4	0	19
Aifm1	3	2104
Aifm2	1	372
Aig1	3	1848
Aim2	0	48
Aimp1	2	1342
AC128207.1	2	44
Aimp2	2	1567
Aip	2	2196
Ajm1	2	1589
Ajuba	1	46
Ak2	1	695
Ak3	1	1046
Ak6	2	1404
Akap1	2	2105
Akap10	0	3377
Akap11	0	2904
Akap13	0	950
Akap17a	1	121
Akap17b	0	129
Akap2	1	1468
Akap5	4	39
Akap7	0	1538
Akap8	0	1226
Akap8l	4	562
Akap9	2	587
Akip1	0	1318
Akirin1	1	986
Akirin2	2	2247
Akna	0	297
Akr1a1	1	2830
Akr1b1	1	538
Akr1b10	4	87
Akr1c13	1	15
Akr1c14	3	1330
Akr1c15	3	1526
AC141102.1	3	57
Akr1c19	4	14
Akr1e2	3	1150
Akr7a2	1	1094
Akt1	0	3482
Akt1s1	2	1185
