	cluster	degree
1600012H06Rik	2	2080
0610030E20Rik	3	3327
1600014C10Rik	3	3498
1810010H24Rik	3	2315
1810037I17Rik	3	1183
1700019D03Rik	1	1098
2310039H08Rik	4	137
1110038F14Rik	4	994
2610008E11Rik	2	2832
2700049A03Rik	2	1127
2810021J22Rik	2	2764
A2m	3	2974
1500009L16Rik	3	155
Aaas	2	489
AABR07001926.3	2	296
AABR07002065.2	2	469
AABR07002627.1	3	2821
AABR07002774.1	2	1789
AABR07002774.4	2	632
AABR07002784.1	2	641
AABR07002868.1	2	1069
1700102P08Rik	2	209
AABR07002969.1	4	1097
AABR07003176.1	3	2132
AABR07003537.1	1	573
6330403K07Rik	1	205
AABR07004891.1	5	5
AABR07002782.1	5	100
AABR07005779.1	2	2015
AABR07006724.1	2	1253
AABR07007032.1	2	2666
AABR07007121.1	3	1
0610040J01Rik	3	8
AABR07007642.1	0	1575
1110032F04Rik	0	361
AABR07007675.2	5	247
6030468B19Rik	5	231
AABR07004232.1	5	133
AABR07007905.2	5	422
AABR07000292.1	5	303
AABR07008681.1	5	436
AABR07009715.1	0	922
AABR07008066.2	0	353
AABR07011733.1	5	199
AABR07013065.1	5	424
AABR07013425.1	5	308
AABR07012635.1	5	120
AABR07014301.2	3	196
AABR07015507.1	3	1663
AABR07015559.1	5	322
2010003K11Rik	5	21
AABR07015812.1	0	1455
AABR07001519.1	0	507
AABR07016566.1	5	312
AABR07007744.2	5	88
AABR07017874.1	5	197
AABR07018556.1	5	304
AABR07019403.1	3	866
AABR07011057.1	3	120
AABR07021080.1	5	11
AABR07021812.1	0	682
4833439L19Rik	0	490
AABR07006025.2	0	94
AABR07021955.1	3	2833
AABR07022168.1	5	316
AABR07024439.1	0	652
AABR07008724.1	0	259
AABR07010787.1	0	374
AABR07024442.1	5	64
AABR07025051.3	3	291
AABR07025089.1	5	216
AABR07025896.1	2	181
AABR07026002.1	1	43
AABR07017733.1	1	10
AABR07026291.1	2	986
AABR07026805.1	0	909
AABR07026032.1	0	383
AABR07027258.1	0	723
AABR07027267.1	5	418
AABR07027925.1	0	630
AABR07028027.1	4	562
AABR07028488.1	1	1990
