	cluster	degree
1600012H06Rik	2	817
0610030E20Rik	2	2931
1600014C10Rik	2	2523
2810459M11Rik	0	1491
1810010H24Rik	0	1532
4833439L19Rik	3	2080
4930523C07Rik	0	1368
4930563E22Rik	1	296
0610040J01Rik	1	56
A1cf	2	2129
Aaas	0	2536
AABR07002969.1	3	784
AABR07003537.1	2	1533
AABR07005779.1	2	3082
2700049A03Rik	2	762
AABR07005844.1	0	162
1700019D03Rik	0	121
AABR07006691.1	3	468
AABR07007032.1	2	1099
AABR07007675.2	1	94
AABR07007905.2	1	229
AABR07008681.1	1	255
AABR07001519.1	1	25
AABR07009715.1	0	166
AABR07013065.1	1	27
AABR07004549.1	1	7
AABR07013425.1	1	184
AABR07015346.1	1	261
1810037I17Rik	1	86
AABR07015559.1	1	74
AABR07017902.1	3	201
AABR07018556.1	1	141
AABR07022144.1	2	547
AABR07026291.1	2	129
2610008E11Rik	1	139
AABR07027267.1	1	120
AABR07028027.1	3	579
AABR07028769.1	0	1909
AABR07028859.1	0	193
AABR07002848.1	0	242
AABR07028902.1	2	467
AABR07029272.1	3	2595
AABR07029581.1	3	545
AABR07029732.1	1	63
AABR07030019.1	0	1735
AABR07030861.1	0	731
AABR07031491.2	0	278
AABR07031963.1	1	63
AABR07032520.1	3	1663
AABR07034438.1	2	1227
AABR07034632.1	3	598
AABR07034648.1	0	46
AABR07034730.3	0	5
AABR07034730.2	0	11
AABR07035218.1	1	57
AABR07002774.4	1	39
AABR07035338.1	2	728
AABR07035374.1	1	21
AABR07035428.2	2	1567
AABR07035787.1	2	914
AABR07035839.1	2	579
AABR07036550.1	1	25
AABR07037995.1	2	1022
AABR07038355.1	1	169
AABR07038477.1	1	89
AABR07038567.1	1	78
AABR07000292.1	1	23
AABR07039446.2	0	1279
AABR07039936.1	3	56
AABR07040947.1	0	1150
AABR07041109.1	2	100
AABR07041778.1	2	928
AABR07014301.2	3	338
AABR07043115.1	1	123
AABR07043347.1	1	17
AABR07044388.2	3	640
AABR07044416.1	1	142
AABR07044631.2	0	1115
AABR07044900.1	1	100
AABR07004891.1	1	15
AABR07012635.1	1	5
AABR07045411.1	1	101
AABR07032097.1	2	97
AABR07046707.1	0	751
AABR07048031.1	0	12
AABR07049821.2	2	887
AABR07051376.1	3	1770
AABR07052486.1	3	146
AABR07053185.1	2	787
AABR07053304.1	2	152
AABR07053472.1	3	2505
AABR07046657.1	3	101
AABR07054000.1	1	80
AABR07054286.1	1	166
AABR07021080.1	1	13
AABR07054367.1	2	1803
AABR07054614.1	3	79
AABR07057196.1	3	1529
AABR07057436.1	3	702
AABR07058124.2	1	17
A1bg	1	28
AABR07058914.1	3	1339
AABR07059232.1	3	2357
