	cluster	degree
1110065P20Rik	0	1402
0610030E20Rik	0	1948
1810010H24Rik	3	822
1600014C10Rik	1	172
1810037I17Rik	3	1451
2310039H08Rik	0	1473
2310002L09Rik	0	834
4930523C07Rik	1	1771
1600012H06Rik	3	1987
4930563E22Rik	0	734
A3galt2	1	2000
Aaas	3	1459
AABR07002093.1	0	3
AABR07001519.1	0	51
AABR07002774.4	2	2823
AABR07002848.1	2	1765
AABR07001926.3	2	286
AABR07002969.1	1	1529
AABR07003176.1	0	657
2610008E11Rik	0	24
AABR07005775.1	4	79
AABR07003537.1	4	11
AABR07005779.1	0	1170
AABR07005844.1	1	1717
AABR07006278.1	1	1658
AABR07007121.1	3	104
1110038F14Rik	0	251
AABR07007642.1	1	680
AABR07008681.1	2	184
AABR07007905.2	2	253
AABR07009105.1	0	856
AABR07009715.1	0	77
AABR07011057.1	2	125
AABR07013065.1	2	409
2700049A03Rik	2	214
AABR07013425.1	2	35
AABR07015559.1	2	50
AABR07017110.1	2	5
AABR07017902.1	1	351
AABR07006275.1	4	11
AABR07018556.1	2	34
AABR07021080.1	2	84
AABR07021871.1	0	192
AABR07021955.1	1	2104
AABR07022168.1	2	193
AABR07025272.1	1	18
AABR07025140.1	1	68
AABR07026291.1	0	1248
AABR07002627.1	0	930
AABR07027267.1	2	253
AABR07028027.1	3	468
AABR07007675.1	3	323
AABR07028488.1	1	1900
AABR07028615.2	1	320
AABR07028769.1	1	2029
AABR07028902.1	2	2736
AABR07029272.1	1	1315
AABR07029581.1	0	533
AABR07029596.1	0	333
AABR07029732.1	4	22
AABR07030773.1	1	361
AABR07030861.1	1	1779
AABR07031480.1	2	2007
AABR07031491.2	0	1660
AABR07034438.1	2	2454
AABR07034639.1	3	95
AABR07035218.1	0	1252
AABR07035338.1	2	122
AABR07035374.1	2	348
AABR07035428.2	2	1427
AABR07035787.1	2	2206
AABR07036567.1	4	83
AABR07038477.1	2	112
AABR07038567.1	2	70
AABR07039210.1	1	2096
AABR07039210.2	1	1967
AABR07039446.2	1	3085
AABR07040412.1	2	2642
AABR07040855.1	0	475
AABR07040864.1	0	1295
AABR07043115.1	2	148
AABR07044383.1	1	1136
AABR07044388.2	1	387
AABR07044397.1	3	12
AABR07044416.1	2	250
AABR07044631.2	1	1943
AABR07044759.1	1	133
AABR07044900.1	2	79
AABR07045411.1	2	36
AABR07049329.1	1	280
AABR07051787.1	3	286
AABR07053185.1	2	638
AABR07029195.1	2	17
AABR07053516.1	0	1239
AABR07053741.1	3	185
AABR07053830.1	1	235
AABR07054286.1	2	293
AABR07054367.1	0	151
AABR07008066.2	0	42
AABR07029605.1	0	37
AABR07054614.1	1	19
AABR07058479.1	4	32
AABR07060778.1	0	293
AABR07062138.2	1	1702
AABR07062570.1	0	503
AABR07063279.1	1	1347
AABR07064224.1	4	36
AABR07064590.1	2	316
AABR07064622.1	4	4
AABR07064719.2	2	2339
AABR07064804.1	0	337
AABR07064980.1	3	395
AABR07058831.1	3	3
AABR07065812.2	1	12
AABR07066529.1	3	404
AABR07069454.1	2	1694
AABR07069611.1	2	96
AABR07070307.1	2	57
AABR07071244.1	3	2354
AABR07071891.3	2	103
AABR07071986.1	0	833
AABR07072108.1	3	436
AABR07072356.1	0	101
Aacs	1	703
Aak1	2	1256
Aamp	0	668
Aar2	2	1968
Aars1	0	153
Aars2	4	28
AABR07063281.1	4	24
Aasdh	2	1212
Aasdhppt	0	1349
Aatf	3	665
Abca1	2	1075
Abca2	0	1899
Abca3	1	2386
Abca5	0	889
Abca7	0	2078
Abca9	0	73
Abca8a	0	6
Abcb6	0	1238
Abcc1	0	77
AABR07016566.1	2	29
AABR07028997.1	0	8
Abcc10	2	846
Abcc3	1	2312
Abcc4	0	258
Abcc5	2	15
Abcb8	4	2
Abcc9	0	445
Abcd1	0	320
Abcd3	1	713
Abcd4	2	360
Abce1	0	2156
Abcf1	0	1201
Abcf2	0	1441
Abcf3	0	1098
Abcg1	1	2199
Abcg3l1	1	2523
Abcg3l2	1	1962
Abcg3l3	1	1799
Abcg3l4	1	730
Abhd1	1	917
Abhd12	1	2618
Abhd13	1	2423
Abhd15	1	2157
Abhd16a	0	504
AABR07051376.1	0	127
Abhd16b	3	1505
Abhd17b	1	392
Abhd17c	3	811
Abhd2	1	581
Abhd4	3	2143
Abhd5	3	1032
Abhd6	0	929
Abi1	3	2416
Abi3	1	582
Abi3bp	1	2193
Abitram	2	904
Abl1	2	2048
Abl2	2	1435
AABR07030019.1	2	85
Ablim2	0	1211
Ablim3	1	345
Abr	1	621
Abra	0	797
Abracl	1	1367
Abraxas1	2	2209
Abraxas2	0	1109
Abt1	3	717
AABR07042326.2	3	228
Abtb2	0	163
AC094055.1	2	769
AC094212.1	4	65
AC097784.1	3	618
AC098547.2	2	7
AC098622.1	4	52
AC099450.1	0	987
AC099453.1	0	524
AC105515.1	4	45
AABR07015346.1	4	63
AABR07057237.1	4	18
AC105531.1	0	1488
AC107531.3	2	9
AC109048.1	1	262
AC109844.1	2	46
AC112866.1	0	514
AC115420.1	2	44
AC118165.1	3	165
AC119015.1	3	714
Aagab	0	54
AC121415.1	0	687
AC126572.1	2	1307
AC128207.1	4	25
AABR07006724.1	4	40
AC128848.1	0	453
AC128859.3	1	791
AC129049.1	3	80
AC130232.2	3	1661
AC130391.3	2	191
AC132740.1	2	8
AC135409.1	2	19
AC136661.1	3	4
AC139642.2	2	12
AC141102.1	1	61
Acaa1a	3	74
Abhd17a	0	22
Acaca	2	133
Acacb	0	605
Acad10	0	1080
Acad11	0	577
Acad8	0	44
Acad9	0	215
Acadl	0	769
Acadm	4	36
Acaa2	4	28
Acadvl	0	342
Acap1	1	65
Acap2	1	3851
Acap3	2	2199
Acat1	0	281
Acadsb	0	29
Acat2	1	57
Acbd3	3	2080
Acbd4	0	482
Acbd5	0	1444
Acbd6	0	1741
AC113910.1	3	59
Accs	1	1598
Acd	1	2291
Ace	1	1451
Acer2	1	1600
AABR07007032.1	1	132
Acer3	1	1693
Ache	4	48
2810021J22Rik	4	19
Acin1	0	1879
Ackr1	1	1552
Ackr2	1	1788
Ackr4	1	1327
Acly	1	2066
Acnat2	2	294
Aco1	0	19
Aco2	4	72
Acot11	2	48
Acot13	0	23
Acot2	0	84
Acot7	0	437
Acot8	2	34
Acot9	0	1903
Acox1	0	558
Abhd14b	0	19
Acox3	2	947
Acp1	0	1148
AABR07015889.1	0	1
Acp2	3	3406
Acp5	1	1131
Acp6	3	1308
Acsf2	0	1044
Acsl3	0	737
Acsl4	0	1568
Acsl5	1	3105
Acsl6	4	68
Acsm5	4	3
Acss2	3	109
Acta1	4	121
Acta2	1	896
Actb	1	2420
Actg1	1	2060
Actg2	1	34
Actl6a	3	2099
Actn1	1	1689
Actn2	0	74
Actn3	4	79
Actn4	1	2253
Actr10	0	1225
Actr1a	0	2254
Actr1b	0	81
Actr2	3	2244
Actr3	1	2744
Actr3b	4	40
Actr5	2	1048
Actr6	3	949
Actr8	0	2285
4930503L19Rik	0	168
Acvr1b	0	98
Abtb1	0	31
Acvr1c	1	1264
Acvr2a	2	247
Acvr2b	0	116
Acvrl1	1	2123
Acy1	0	741
Acy3	1	200
Acyp1	0	1225
Acyp2	4	26
Ada	1	1655
Adam10	1	1493
Adam15	1	2727
Adam17	1	2307
Adam19	1	1966
Adam23	1	1292
Adam33	1	49
Abca8	1	1
Adam8	1	629
Adamts1	1	276
Ackr3	1	47
Adamts10	1	88
Adamts12	1	1630
Adamts15	1	1315
Adamts2	1	1454
Adamts4	1	756
Adamts5	1	2164
Adamts9	1	122
Adamtsl3	1	1830
Adamtsl4	4	3
Adamtsl1	4	8
Adap2	1	2904
Adar	1	2088
Adarb1	0	132
Adat1	2	1271
Adat2	1	47
Adat3	1	1300
Adck5	2	653
AABR07031963.1	2	18
Adcy2	0	1415
Adcy3	1	2140
Adcy4	1	2311
Adcy5	1	740
Adcy6	1	1923
Adcy7	1	942
Adcy9	4	53
Add1	1	3350
Add3	1	3025
Adgra2	1	1596
Adgrd1	1	1294
Adgre1	1	1766
Adgre5	3	2963
Adgrf5	1	805
Adgrg1	1	694
Adgrg5	1	33
Adgrg6	1	3276
Adgrl2	1	1666
Adgrl4	1	1141
Adgrv1	1	395
Adh6	5	10
AABR07034632.1	5	33
Adhfe1	0	328
Adi1	4	32
Aamdc	4	11
Adipoq	1	1465
Adipor1	0	1028
4833439L19Rik	0	41
AABR07015507.1	0	42
Adipor2	0	506
Adm	1	2450
Adnp	2	2110
Adnp2	2	2248
Adora1	1	94
Adora2a	1	406
Adpgk	1	3222
Adprh	3	3114
Adprm	1	197
Adprs	2	337
Adra2a	1	1543
Adrb2	2	1349
Adrm1	0	1503
Adsl	0	1217
Adss	3	1774
Adssl1	4	81
AABR07070456.1	4	6
Aebp1	1	2522
Aebp2	2	985
Aen	3	1161
Afap1	1	2244
Afap1l2	1	1026
Afdn	2	1254
Aff1	4	57
Adgra3	0	52
Aff3	1	2041
Aff4	2	929
Afg3l2	0	464
Aftph	3	911
AABR07030911.1	3	98
Aga	1	2034
Agap1	0	1133
Agap2	1	20
Adgrl1	1	8
Agap3	0	757
Ager	2	1405
AABR07026317.1	2	6
Agfg2	2	717
Aggf1	3	697
Agk	2	225
Agl	4	135
Agmo	2	941
Ago1	2	244
Ago2	0	450
