metabolite_id,metabolite_name,metabolite_no_compartment,compartment
10fthf_c,10-Formyltetrahydrofolate,10fthf,c
10fthf_l,10-Formyltetrahydrofolate,10fthf,l
10fthf_m,10-Formyltetrahydrofolate,10fthf,m
11docrtsl_c,11docrtsl c,11docrtsl,c
11docrtsl_m,11docrtsl c,11docrtsl,m
11docrtsl_r,11docrtsl c,11docrtsl,r
11docrtstrn_c,11-Deoxycorticosterone,11docrtstrn,c
11docrtstrn_m,11-Deoxycorticosterone,11docrtstrn,m
11docrtstrn_r,11-Deoxycorticosterone,11docrtstrn,r
13dampp_c,1 3 Diaminopropane C3H12N2,13dampp,c
h2o_c,H2O H2O,h2o,c
o2_c,O2 O2,o2,c
bamppald_c,Beta-Aminopropion aldehyde,bamppald,c
34hpl_m,3  4 Hydroxyphenyl lactate C9H9O4,34hpl,m
10fthf5glu_c,10-formyltetrahydrofolate-[Glu](5),10fthf5glu,c
h2o2_c,Hydrogen peroxide,h2o2,c
10fthf5glu_l,10-formyltetrahydrofolate-[Glu](5),10fthf5glu,l
nh4_c,Ammonium,nh4,c
h2o_m,H2O H2O,h2o,m
10fthf5glu_m,10-formyltetrahydrofolate-[Glu](5),10fthf5glu,m
10fthf6glu_c,10-formyltetrahydrofolate-[Glu](6),10fthf6glu,c
o2_m,O2 O2,o2,m
10fthf6glu_l,10-formyltetrahydrofolate-[Glu](6),10fthf6glu,l
10fthf6glu_m,10-formyltetrahydrofolate-[Glu](6),10fthf6glu,m
2425dhvitd2_m,"24R,25-Dihyoxyvitamin D2",2425dhvitd2,m
10fthf7glu_c,10-formyltetrahydrofolate-[Glu](7),10fthf7glu,c
10fthf7glu_l,10-formyltetrahydrofolate-[Glu](7),10fthf7glu,l
co2_c,CO2 CO2,co2,c
h_m,H+,h,m
10fthf7glu_m,10-formyltetrahydrofolate-[Glu](7),10fthf7glu,m
nadph_m,Nicotinamide adenine dinucleotide phosphate - reduced,nadph,m
1a2425thvitd2_m,"1-alpha,24R,25-Trihydroxyvitamin D2",1a2425thvitd2,m
nadp_m,Nicotinamide adenine dinucleotide phosphate,nadp,m
2425dhvitd3_m,"24R,25-Dihydroxyvitamin D3",2425dhvitd3,m
1a25dhvitd2_m,"1-alpha,25-Dihydroxyvitamin D2",1a25dhvitd2,m
1a25dhvitd3_m,"1-alpha,25-Dihydroxyvitamin D3",1a25dhvitd3,m
34hpp_c,3-(4-Hydroxyphenyl)pyruvate,34hpp,c
h_c,H+,h,c
srtn_c,Serotonin,srtn,c
1mncam_c,1 Methylnicotinamide C7H9N2O,1mncam,c
1mncam_e,1 Methylnicotinamide C7H9N2O,1mncam,e
atp_c,ATP C10H12N5O13P3,atp,c
hgentis_c,Homogentisate C8H7O4,hgentis,c
adp_c,ADP C10H12N5O10P2,adp,c
5homeprazole_e,5homeprazole c,5homeprazole,e
pi_c,Phosphate,pi,c
5homeprazole_c,5homeprazole c,5homeprazole,c
5hoxindact_c,5-Hydroxyindoleacetaldehyde,5hoxindact,c
35cgmp_c,"3,5-Cyclic GMP",35cgmp,c
h_x,H+,h,x
35cgmp_n,"3,5-Cyclic GMP",35cgmp,n
5hoxindoa_c,5-Hydroxyindoleacetate,5hoxindoa,c
5htrp_e,5-Hydroxy-L-tryptophan,5htrp,e
1pipdn2c_x,Delta1-Piperideine-2-carboxylate,1pipdn2c,x
3aib_m,L-3-Amino-isobutanoate,3aib,m
nadh_x,Nicotinamide adenine dinucleotide - reduced,nadh,x
2mop_m,2-Methyl-3-oxopropanoate,2mop,m
5mthf_e,5-Methyltetrahydrofolate,5mthf,e
Lpipecol_x,L-pipecolic acid; piperidine-2-carboxylic acid,Lpipecol,x
nad_x,Nicotinamide adenine dinucleotide,nad,x
5mthf_c,5-Methyltetrahydrofolate,5mthf,c
2425dhvitd2_c,"24R,25-Dihyoxyvitamin D2",2425dhvitd2,c
5thf_c,Pentaglutamyl folate (THF),5thf,c
2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2",2425dhvitd2,e
5thf_l,Pentaglutamyl folate (THF),5thf,l
glu__L_m,L-Glutamate,glu,m
2425dhvitd3_c,"24R,25-Dihydroxyvitamin D3",2425dhvitd3,c
5thf_m,Pentaglutamyl folate (THF),5thf,m
2425dhvitd3_e,"24R,25-Dihydroxyvitamin D3",2425dhvitd3,e
6dhf_c,Haxglutamyl folate (DHF),6dhf,c
25hvitd2_m,25-Hydroxyvitamin D2,25hvitd2,m
6dhf_l,Haxglutamyl folate (DHF),6dhf,l
3aib_c,L-3-Amino-isobutanoate,3aib,c
6dhf_m,Haxglutamyl folate (DHF),6dhf,m
25hvitd3_m,25-Hydroxyvitamin D3,25hvitd3,m
6htststerone_c,6 beta hydroxy testosterone,6htststerone,c
24nph_e,"2,4 dihydroxy nitrophenol",24nph,e
6htststerone_e,6 beta hydroxy testosterone,6htststerone,e
3dphb_m,3-Decaprenyl-4-hydroxybenzoate,3dphb,m
24nph_c,"2,4 dihydroxy nitrophenol",24nph,c
25hvitd2_c,25-Hydroxyvitamin D2,25hvitd2,c
3dpdhb_m,"3-Decaprenyl-4,5-dihdydroxybenzoate",3dpdhb,m
6htststerone_r,6 beta hydroxy testosterone,6htststerone,r
25hvitd2_e,25-Hydroxyvitamin D2,25hvitd2,e
6thf_c,Hexaglutamyl folate  (THF),6thf,c
3dsphgn_c,3 Dehydrosphinganine C18H38NO2,3dsphgn,c
25hvitd3_c,25-Hydroxyvitamin D3,25hvitd3,c
6thf_l,Hexaglutamyl folate  (THF),6thf,l
6thf_m,Hexaglutamyl folate  (THF),6thf,m
25hvitd3_e,25-Hydroxyvitamin D3,25hvitd3,e
7dhchsterol_r,"Cholesta-5,7-dien-3beta-ol",7dhchsterol,r
sphgn_c,Sphinganine C18H40NO2,sphgn,c
2amac_c,2-Aminoacrylate,2amac,c
7dhchsterol_c,"Cholesta-5,7-dien-3beta-ol",7dhchsterol,c
pyr_c,Pyruvate,pyr,c
7dhf_c,Heptaglutamyl folate (DHF),7dhf,c
3hanthrn_c,3 Hydroxyanthranilate C7H7NO3,3hanthrn,c
cmusa_c,2 Amino 3 carboxymuconate semialdehyde C7H6NO5,cmusa,c
7dhf_l,Heptaglutamyl folate (DHF),7dhf,l
7dhf_m,Heptaglutamyl folate (DHF),7dhf,m
7thf_c,Heptaglutamyl folate (THF),7thf,c
7thf_l,Heptaglutamyl folate (THF),7thf,l
