bigg_id,reaction_name,,subsytem
24_25DHVITD3tm,"24,25-Dihydroxyvitamin D3 transport from mitochondria",,"Transport, mitochondrial"
25HVITD3t,25-hydroxyvitamin D3 transport from cytoplasm,,"Transport, extracellular"
COAtl,CoA transport in lysosome via diffusion,,"Transport, lysosomal"
EX_5adtststerone_e,5alpha-Dihydrotestosterone exchange,,Extracellular exchange
EX_5adtststerones_e,5alpha-Dihydrotestosterone sulfate exchange,,Extracellular exchange
EX_5fthf_e,5-Formyltetrahydrofolate exchange,,Extracellular exchange
EX_5htrp_e,5-Hydroxy-L-tryptophan exchange,,Extracellular exchange
EX_5mthf_e,5-Methyltetrahydrofolate exchange,,Extracellular exchange
EX_5thf_e,Pentaglutamyl folate (THF) exchange,,Extracellular exchange
EX_6dhf_e,Haxglutamyl folate (DHF) exchange,,Extracellular exchange
24_25VITD3Hm,24R-Vitamin D-25-hydroxylase (D3),,Vitamin D metabolism
24NPHte,Xenobiotic transport,,"Transport, extracellular"
10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal",,"Transport, lysosomal"
10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion,,"Transport, mitochondrial"
11DOCRTSLtr,11-deoxycortisol intracellular transport,,"Transport, endoplasmic reticular"
13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",,Beta-Alanine metabolism
24_25DHVITD2t,"24,25-Dihydroxyvitamin D2 transport from cytoplasm",,"Transport, extracellular"
24_25DHVITD2tm,"24,25-Dihydroxyvitamin D2 transport from mitochondria",,"Transport, mitochondrial"
24_25DHVITD3t,"24,25-Dihydroxyvitamin D3 transport from cytoplasm",,"Transport, extracellular"
25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2),,Vitamin D metabolism
2AMACHYD,2-Aminoacrylate hydrolysis,,"Glycine, serine, alanine, and threonine metabolism"
2AMACSULT,2-Aminoacrylate sulfotransferase,,Methionine and cysteine metabolism
2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),,Lysine metabolism
2MCITt,2-methylcitrate transport via diffusion,,"Transport, extracellular"
2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),,Lysine metabolism
2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),,Tryptophan metabolism
34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport",,"Transport, extracellular"
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",,Tyrosine metabolism
34HPLFM,3  4 hydroxyphenyl  lactate formation,,Ubiquinone synthesis
3AIBtm,"3-amino-isobutyrate transport, mitochondrial",,"Transport, mitochondrial"
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,,Tryptophan metabolism
3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,,"Transport, mitochondrial"
3MOPt2im,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,,"Transport, mitochondrial"
